s_m,x_m,y_m,psi_rad,kappa_radpm,vx_realistic_mps,ax_realistic_mps2
1749.658026,434.8749531,1526.2361058,-1.4337118,-0.0009434,59.0378253063091,0.89271580199206
1751.6576352,436.8560504,1526.5075087,-1.435576,-0.0009213,59.0679978988638,0.891063834350213
1753.6572444,438.8377577,1526.7752765,-1.4373967,-0.0008996,59.0981027883983,0.889518163827296
1755.6568535,440.8197417,1527.039452,-1.4391741,-0.0008783,59.1280742686724,0.886026557276935
1757.6564627,442.8022763,1527.3001578,-1.4409094,-0.0008574,59.157969053926,0.884206739904784
1759.6560719,444.7853624,1527.5574781,-1.4426033,-0.0008368,59.1877922460106,0.882534540159705
1761.655681,446.7686872,1527.8114553,-1.4442564,-0.0008167,59.2174756362627,0.87883921273806
1763.6552902,448.7525074,1528.0622039,-1.4458695,-0.0007969,59.2470781434539,0.876883294287659
1765.6548994,450.7368222,1528.3098032,-1.4474434,-0.0007773,59.276605865466,0.87510459375313
1767.6545086,452.721349,1528.5542966,-1.4489787,-0.0007583,59.3059883918978,0.871234291710506
1769.6541177,454.7063196,1528.7957896,-1.4504762,-0.0007396,59.3352868455381,0.869171355135232
1771.6537269,456.6917288,1529.0343566,-1.4519368,-0.0007212,59.364507920287,0.867303364959743
1773.6533361,458.6773335,1529.2700424,-1.4533609,-0.0007033,59.3935794046949,0.863287157304792
1775.6529453,460.6633332,1529.5029434,-1.4547495,-0.0006857,59.4225644248768,0.861140348532547
1777.6525544,462.6497172,1529.7331289,-1.4561032,-0.0006683,59.4514700710884,0.859200626985451
1779.6521636,464.6362889,1529.9606458,-1.4574227,-0.0006515,59.4802225311752,0.855061765218205
1781.6517728,466.6232095,1530.1855807,-1.4587087,-0.0006349,59.5088870342339,0.852857572142666
1783.6513819,468.6104614,1530.4079981,-1.4599621,-0.0006186,59.5374706666912,0.850860634186123
1785.6509911,470.5979014,1530.6279472,-1.4611833,-0.0006029,59.5658984163824,0.846625621566486
1787.6506003,472.5856462,1530.8455047,-1.4623731,-0.0005873,59.5942372146903,0.844378754105503
